protocol;dtprotocol;number;year
579;1/3/2011;53;2011
580;1/3/2011;54;2011
950;29/3/2011;94;2011
951;29/3/2011;95;2011
2511;21/6/2011;195;2011
2512;21/6/2011;196;2011
2527;21/6/2011;200;2011
2528;21/6/2011;201;2011
4349;4/10/2011;309;2011
4350;4/10/2011;310;2011
5630;6/12/2011;399;2011
5631;6/12/2011;400;2011
2045;22/5/2012;178;2012
2550;19/6/2012;222;2012
2551;19/6/2012;223;2012
2911;10/7/2012;260;2012
4331;23/10/2012;331;2012
4332;23/10/2012;332;2012
5082;4/12/2012;375;2012
5089;4/12/2012;378;2012
6174;9/10/2013;1939;2013
