protocol;dtprotocol;number;year
2815;13/7/2010;313;2010
2826;13/7/2010;314;2010
2827;13/7/2010;315;2010
2828;13/7/2010;316;2010
2850;13/7/2010;317;2010
3160;3/8/2010;317;2010
3175;3/8/2010;323;2010
3176;3/8/2010;324;2010
3177;3/8/2010;324;2010
3178;3/8/2010;325;2010
3179;3/8/2010;326;2010
3246;10/8/2010;330;2010
3253;10/8/2010;331;2010
3294;10/8/2010;334;2010
3295;10/8/2010;335;2010
3296;10/8/2010;336;2010
3297;10/8/2010;337;2010
3298;10/8/2010;338;2010
3455;17/8/2010;339;2010
3466;17/8/2010;342;2010
3598;25/8/2010;345;2010
3599;25/8/2010;346;2010
3600;25/8/2010;347;2010
3610;25/8/2010;352;2010
3611;25/8/2010;353;2010
3617;25/8/2010;354;2010
3618;25/8/2010;355;2010
3619;25/8/2010;356;2010
3685;31/8/2010;359;2010
3688;31/8/2010;360;2010
3689;31/8/2010;361;2010
3696;31/8/2010;364;2010
3707;31/8/2010;365;2010
3708;31/8/2010;366;2010
3709;31/8/2010;367;2010
3804;14/9/2010;369;2010
3805;14/9/2010;370;2010
3806;14/9/2010;371;2010
3948;28/9/2010;3948;2010
3949;28/9/2010;3949;2010
4015;5/10/2010;4015;2010
4141;14/10/2010;4141;2010
4142;14/10/2010;4142;2010
4239;20/10/2010;399;2010
4359;26/10/2010;4359;2010
4366;26/10/2010;4366;2010
4367;26/10/2010;4367;2010
4375;26/10/2010;4375;2010
4392;26/10/2010;4392;2010
4401;26/10/2010;4401;2010
4402;26/10/2010;4402;2010
4469;5/11/2010;422;2010
4485;5/11/2010;423;2010
4503;5/11/2010;425;2010
4508;5/11/2010;426;2010
4573;9/11/2010;433;2010
4757;18/11/2010;435;2010
4765;18/11/2010;437;2010
4776;18/11/2010;438;2010
4780;18/11/2010;439;2010
4800;18/11/2010;445;2010
4801;18/11/2010;446;2010
4961;23/11/2010;448;2010
4966;23/11/2010;4498;2010
4976;23/11/2010;452;2010
4977;23/11/2010;453;2010
4988;23/11/2010;454;2010
4994;23/11/2010;456;2010
4999;23/11/2010;457;2010
5000;23/11/2010;458;2010
5225;7/12/2010;470;2010
5235;7/12/2010;465;2010
5249;7/12/2010;467;2010
5250;7/12/2010;468;2010
5356;14/12/2010;471;2010
5358;14/12/2010;473;2010
5365;14/12/2010;474;2010
5391;14/12/2010;480;2010
206;8/2/2011;12/99;2011
218;8/2/2011;12/99;2011
224;8/2/2011;12/99;2011
225;8/2/2011;12/99;2011
288;15/2/2011;14;2011
381;22/2/2011;21;2011
398;22/2/2011;27;2011
399;22/2/2011;28;2011
400;22/2/2011;29;2011
401;22/2/2011;30;2011
407;22/2/2011;31;2011
408;22/2/2011;32;2011
409;22/2/2011;33;2011
426;22/2/2011;38;2011
544;1/3/2011;44;2011
643;11/3/2011;56;2011
651;11/3/2011;58;2011
652;11/3/2011;59;2011
653;11/3/2011;60;2011
716;15/3/2011;66;2011
744;15/3/2011;71;2011
818;22/3/2011;73;2011
837;22/3/2011;83;2011
838;22/3/2011;84;2011
839;22/3/2011;85;2011
849;22/3/2011;86;2011
918;29/3/2011;87;2011
921;29/3/2011;88;2011
926;29/3/2011;89;2011
927;29/3/2011;90;2011
1073;5/4/2011;100;2011
1166;12/4/2011;101;2011
1187;12/4/2011;104;2011
1188;12/4/2011;105;2011
1192;12/4/2011;106;2011
1199;12/4/2011;108;2011
1368;19/4/2011;115;2011
1450;26/4/2011;125;2011
1531;3/5/2011;127;2011
1545;3/5/2011;128;2011
1552;3/5/2011;130;2011
1563;3/5/2011;135;2011
1586;3/5/2011;141;2011
1666;10/5/2011;142;2011
1667;10/5/2011;143;2011
1673;10/5/2011;145;2011
1687;10/5/2011;146;2011
1688;10/5/2011;147;2011
1694;10/5/2011;148;2011
1695;10/5/2011;149;2011
1696;10/5/2011;150;2011
1697;10/5/2011;151;2011
1704;10/5/2011;152;2011
1827;17/5/2011;157;2011
1828;17/5/2011;158;2011
1835;17/5/2011;160;2011
1848;17/5/2011;162;2011
1979;24/5/2011;166;2011
1980;24/5/2011;167;2011
2124;2/6/2011;169;2011
2186;7/6/2011;174;2011
2202;7/6/2011;176;2011
2203;7/6/2011;177;2011
2208;7/6/2011;178;2011
2214;7/6/2011;180;2011
2321;14/6/2011;182;2011
2375;14/6/2011;189;2011
2503;21/6/2011;192;2011
2519;21/6/2011;198;2011
2526;21/6/2011;199;2011
2536;21/6/2011;205;2011
2616;28/6/2011;210;2011
2617;28/6/2011;211;2011
2707;4/7/2011;214;2011
3198;2/8/2011;218;2011
3210;2/8/2011;222;2011
3217;2/8/2011;224;2011
3218;2/8/2011;225;2011
3219;2/8/2011;226;2011
3220;2/8/2011;227;2011
3374;9/8/2011;237;2011
3513;16/8/2011;245;2011
3581;23/8/2011;248;2011
3619;23/8/2011;251;2011
