"codigo","cartorio","serventia","municipio_id","cartorio_censo_id"
1,"CARTÓRIO DO REGSITRO CIVIL DAS PESSOAS NATURAIS","010454",2916302,1
2,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009522",2916302,2
3,"CARTÓRIO DO REGISTRO CIVIL COM FUNCOES NOTARIAIS DE BANDEIRA DO COLONIA","008938",2916401,3
4,"ITAPITANGA - REGISTRO CIVIL DAS PESSOAS NATURAIS","011304",2916609,4
5,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012559",2916708,5
6,"CARTÓRIO DO JUDICIAL E ANEXOS COMARCA DE RIO PRETO DA EVA","004580",1303569,6
7,"ANAGE - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE CARAIBAS","143404",2906899,7
8,"CARTÓRIO DO REGISTRO CIVIL","008532",2916807,8
9,"REGISTRO CIVIL COM FUNCOES NOTARIAS ¿ RIBEIRAO DO SALTO","140061",2916807,9
10,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DE ITIRUCU BAHI","006833",2916906,10
11,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006585",2919504,11
12,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009159",2919702,12
13,"MACAUBAS - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE CANATIBA","144402",2919801,13
14,"REG. CIVIL C/ FUNC NOTARIAIS - VARZEA DA ROCA","135327",2920106,14
15,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006361",2920106,15
16,"CARTÓRIO DE REGISTRO CIVIL COM FUNCOES NOTARIAIS DO DISTRITO JUDICIARIO DE PARATECA","006254",2920205,16
17,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS DO DISTRITO DE CATINGAL","007138",2920403,17
18,"REGISTRO CIVIL DAS PESSOAS NATURAIS","131672",2920502,18
19,"REGISTRO CIVIL DAS PESSOAS NATURAIS MARAGOGIPE","012740",2920601,19
20,"CART.DO REG. CIVIL DAS P.NATURAIS C/FUNCOES NOTARIAIS","005587",2920601,20
21,"REGISTRO CIVIL COM FUNCOES NOTARIAIS - NAGE","012047",2920601,21
22,"REGISTRO CIVIL C/FUNCOES NOTARIAIS - GUAPIRA","011387",2920601,22
23,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009175",2920809,23
24,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012237",2921302,24
25,"REGISTRO CIVIL COM FUNCOES NOTARIAIS","011924",2921302,25
26,"REG. CIVIL C/ FUNCOES NOTARIAIS - NUGUACU","133603",2921401,26
27,"REGISTRO CIVIL C/ FUNC. NOTARIAIS - CAMIRIM","012377",2921708,27
28,"CARTÓRIO DO REGISTRO CIVIL C/FUNCOES NOTARIAIS","008698",2921708,28
29,"CARTÓRIO DO REGISTRO CIVIL COM FUNCOES NOTARIAIS","008888",2921708,29
30,"CARTÓRIO REGISTRO CIVIL C/FUNCOES NOTARIAS","010777",2921708,30
31,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012518",2921708,31
32,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS SEDE","006320",2921906,32
33,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO DE GUINE","009530",2921906,33
34,"REGISTRO CIVIL DAS PESSOAS NATURAIS","131896",2922003,34
35,"REGISTRO CIVIL COM FUNCOES NOTARIAIS","012013",2922102,35
36,"REG. CIVIL C/ FUNCAO NOTARIAIS - ONHA","136838",2922201,36
37,"NILO PECANHA - TABELIONATO DE NOTAS","011452",2922607,37
38,"CARTÓRIO DO REGISTRO CIVIL C/FUN. NOTARIAIS DO DISTRITO SEDE DO MUNICIPIO DE NOVO HORIZONTE DA COMARCA DE IBITIARA, BAHIA","135020",2923035,38
39,"REGISTRO CIVIL DAS PESSOAS NATURAIS COM FUNCOES NOTARIAIS DO DISTRITO DE CANABRAVINHA","012658",2923605,39
40,"CARTÓRIO REGISTRO CIVIL DE PAU BRASIL - BA","010926",2923902,40
41,"PAULO AFONSO CARTÓRIO DO REGISTRO CIVIL","138016",2924009,41
42,"IRARA/DISTRITO DE PEDRAO - REGISTRO CIVIL C/FUN NOTARIAS","011270",2924108,42
43,"REGISTRO CIVIL DAS PESSOAS NATURAIS","138263",2924306,43
44,"REG. CIVIL C/ FUNC NOTARIAIS - CABRALIA","138354",2924306,44
45,"CARTÓRIO REGISTRO CIVIL DAS PESSOAS NATURAIS","010868",2924405,45
46,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO DE VILA BREJO DA SERRA","006890",2924405,46
47,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO DE VILA BALUARTE","006882",2924405,47
48,"CARTÓRIO DE REGISTRO DE IMOVEIS E HIPOTECAS","007534",2924504,48
49,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS","007047",2924504,49
50,"TABELIONATO DE NOTAS COM FUNCOES DE PROTESTO","014662",2924504,50
51,"CARTÓRIO DE REGISTRO CIVIL E NOTAS DO DISTRIITO DE BANANEIRAS","007260",2924603,51
